ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Meta: tax:product_brand,Meta: attribute:color,Meta: attribute_data:color,Meta: attribute:size,Meta: attribute_data:size,Meta: count_post_all,Meta: count_post_comments,Meta: male_comment_count,Meta: male_count_comments,Meta: female_comment_count,Meta: female_count_comments,Meta: other_comment_count,Meta: other_count_comments,Meta: post_stats,Meta: _gd_mwc_is_new_object,Meta: _gform-form-id,Meta: _gform-entry-id,Meta: _last_editor_used_jetpack,Meta: _dfrps_is_dfrps_product,Meta: _dfrps_is_dfrpswc_product,Meta: _dfrps_product_id,Meta: _dfrps_product_check_image,Meta: _dfrps_featured_image_url,Meta: _dfrps_salediscount,Meta: _dfrps_product_set_id,Meta: eili,Meta: ei,Meta: ei_converted,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global,Attribute 7 name,Attribute 7 value(s),Attribute 7 visible,Attribute 7 global,Attribute 8 name,Attribute 8 value(s),Attribute 8 visible,Attribute 8 global,Attribute 9 name,Attribute 9 value(s),Attribute 9 visible,Attribute 9 global,Attribute 10 name,Attribute 10 value(s),Attribute 10 visible,Attribute 10 global,Attribute 11 name,Attribute 11 value(s),Attribute 11 visible,Attribute 11 global,Attribute 12 name,Attribute 12 value(s),Attribute 12 visible,Attribute 12 global,Attribute 13 name,Attribute 13 value(s),Attribute 13 visible,Attribute 13 global,Attribute 14 name,Attribute 14 value(s),Attribute 14 visible,Attribute 14 global,Meta: _dfrps_cpt_next_update_time,Meta: _dfrps_cpt_update_phase,Meta: _wp_desired_post_slug
37232,external,2.2883E+15,BU52AST2DSG Contemporary Two-Tone Glass Shelf Sideboard in Slate,1,0,visible,,Invite a contemporary twist to Mid-century modernism into your personal space with this attractive sideboard. Set atop sleek. adjustable metal legs. its minimalistic profile will streamline the aesthetic of any alcove into a mod motif. ready to displ...,,,taxable,,1,,,0,0,,,,,1,,,339.99,Uncategorized,,,https://letscrowdshop.com/wp-content/uploads/2022/06/BU52AST2DSG-Contemporary-Two-Tone-Glass-Shelf-Sideboard-in-Slate-1.jpg,,,,,,,https://www.anrdoezrs.net/click-5916889-13430609?url=https%3A%2F%2Fwww.appliancesconnection.com%2Fwalker-edison-bu52ast2dsg.html%3Fref%3Dtrjc,,982,mpn,BU52AST2DSG,1,0,brand,Walker Edison,1,1,,,,,,,,,,,,,,,,,,,1,1,2.2883E+15,0,https://static.appliancesconnection.com/product/450x420/2ed9e93b4af64daa49d9262f218cd46f/BU52AST2DSG.jpg,0,,df,1,1,Direct URL,https://www.appliancesconnection.com/walker-edison-bu52ast2dsg.html?ref=trjc,1,0,gtin,8.40146E+11,1,0,condition,new,1,1,last updated,6/14/2022 10:36,1,0,id,1640253,1,0,merchant,AppliancesConnection.com,1,1,Network,Commission Junction,0,1,,,,,,,,,,,,,,,,,,,,,,,
37233,external,2.6842E+15,"Walker Edison BU58FRAN2DDW Modern Curved Edge Fluted Glass Door Sideboard, Dark Walnut",1,0,visible,,"Initiate an artsy scene reminiscent of another era in your own space with this modern fluted glass door sideboard. While black metal accents set a contemporary tone, the curved ends and fluted glass doors lend a vintage vibe that emulates a sense of old Hollywood glamour. House your favorite dinnerware or collected art finds on two adjustable shelves behind the mirage of closed storage provided by the semitransparent tempered safety glass doors. Four fixed side shelves and cord management ports allow you to effortlessly transform the console from an entertaining essential to movie marathon must-have. Embrace this piece and all its curves in your living room, dining room, or entryway to invite an air of elevated living.\nFeaturesFranny Dark Walnut Sideboard\nModern Curved Edge Fluted Glass Door Sideboard Dark Walnut\nCurved ends lend a unique, contemporary aesthetic\nFluted tempered safety glass doors on adjustable, soft-close metal hinges\n2 adjustable shelves and 4 fixed shelves offer customizable storage\nMade with warp-resistant MDF and long-wearing laminate\nCord management ports keep cables tidy\nThe perfect accent for your mid-century or contemporary home\nUse as a buffet, entry console, or TV stand for TVs up to 65 inches\nSpecificationsColor: Dark Walnut\nDimension: 15.5""W x 15.5""D x 31""H\nWeight: 109 lbs",,,taxable,,1,,,0,0,,,,,1,,389.99,506.99,Uncategorized,,,https://letscrowdshop.com/wp-content/uploads/2022/06/Walker-Edison-BU58FRAN2DDW-Modern-Curved-Edge-Fluted-Glass-Door-Sideboard-Dark-Walnut-1.jpg,,,,,,,https://www.kqzyfj.com/click-5916889-13731467?url=https%3A%2F%2Fwww.unbeatablesale.com%2Fwked4664.html,,1140,mpn,BU58FRAN2DDW,1,0,brand,Walker Edison Furniture Co,1,1,,,,,,,,,,,,,,,,,,,1,1,2.6842E+15,0,http://site.unbeatablesale.com/WKED4664.JPG,23,,df,1,1,Direct URL,https://www.unbeatablesale.com/wked4664.html,1,0,gtin,8.40146E+11,1,0,condition,new,1,1,last updated,6/11/2022 5:04,1,0,id,WKED4664,1,0,merchant,UnbeatableSale.com,1,1,Network,Commission Junction,0,1,,,,,,,,,,,,,,,,,,,,,,,
37234,external,2.6842E+15,"Walker Edison BU58FRAN2DSB Modern Curved Edge Fluted Glass Door Sideboard, Solid Black",1,0,visible,,"Initiate an artsy scene reminiscent of another era in your own space with this modern fluted glass door sideboard. While black metal accents set a contemporary tone, the curved ends and fluted glass doors lend a vintage vibe that emulates a sense of old Hollywood glamour. House your favorite dinnerware or collected art finds on two adjustable shelves behind the mirage of closed storage provided by the semitransparent tempered safety glass doors. Four fixed side shelves and cord management ports allow you to effortlessly transform the console from an entertaining essential to movie marathon must-have. Embrace this piece and all its curves in your living room, dining room, or entryway to invite an air of elevated living.\nFeaturesFranny Dark Walnut Sideboard\nModern Curved Edge Fluted Glass Door Sideboard Dark Walnut\nCurved ends lend a unique, contemporary aesthetic\nFluted tempered safety glass doors on adjustable, soft-close metal hinges\n2 adjustable shelves and 4 fixed shelves offer customizable storage\nMade with warp-resistant MDF and long-wearing laminate\nCord management ports keep cables tidy\nThe perfect accent for your mid-century or contemporary home\nUse as a buffet, entry console, or TV stand for TVs up to 65 inches\nSpecificationsColor: Solid Black\nDimension: 15.5""W x 15.5""D x 31""H\nWeight: 109 lbs",,,taxable,,1,,,0,0,,,,,1,,389.99,506.99,Uncategorized,,,https://letscrowdshop.com/wp-content/uploads/2022/06/Walker-Edison-BU58FRAN2DSB-Modern-Curved-Edge-Fluted-Glass-Door-Sideboard-Solid-Black-1.jpg,,,,,,,https://www.kqzyfj.com/click-5916889-13731467?url=https%3A%2F%2Fwww.unbeatablesale.com%2Fwked4665.html,,1141,mpn,BU58FRAN2DSB,1,0,brand,Walker Edison Furniture Co,1,1,,,,,,,,,,,,,,,,,,classic-editor,1,1,2.6842E+15,0,http://site.unbeatablesale.com/WKED4665.JPG,23,,df,1,1,Direct URL,https://www.unbeatablesale.com/wked4665.html,1,0,gtin,8.40146E+11,1,0,condition,new,1,1,last updated,6/11/2022 5:04,1,0,id,WKED4665,1,0,merchant,UnbeatableSale.com,1,1,Network,Commission Junction,0,1,,,,,,,,,,,,,,,,,,,,,,,
37235,external,7.7789E+15,Costway Mid-Century Buffet Sideboard Wooden Storage Cabinet w/ Wine Rack &amp; Glass Holder,1,0,visible,,"Costway Mid-Century Buffet Sideboard Wooden Storage Cabinet w/ Wine Rack &amp; Glass Holder Are you still bothered by the mess in the kitchen? Our buffet sideboard is a good organizer to make the kitchen tidy and orderly. This cupboard features various storage spaces to fully meet your requirements. A storage cabinet with 3-position adjustable shelf can store various kitchen utensils of different heights. Wine racks with 3'' diameter and wine glass holders satisfy the storage needs of wine lovers. And it is equipped with a large drawer and an open shelf to provide extra space for other supplies. What's more, 5 sturdy pine legs give strong support and good stability. With exquisite workmanship and modern style, the sideboard is suitable for kitchen, living room, bar, restaurant and so on. Feature Made of engineered wood to ensure sturdiness and durability 5 solid pine legs for improved stability Wine rack to store 10 wine bottles with 3'' diameter Wine glass holder to hang wine glasses Left cabinet with 3-position",,,taxable,,1,,,0,0,,,,,1,,,256.29,Uncategorized,,,https://letscrowdshop.com/wp-content/uploads/2022/06/Costway-Mid-Century-Buffet-Sideboard-Wooden-Storage-Cabinet-w-Wine-Rack-amp-Glass-Holder-1.jpg,,,,,,,https://www.kqzyfj.com/click-5916889-15076899?url=https%3A%2F%2Fwww.dotandbo.com%2Fcostway%2Fproduct%2Fcostway-mid-century-buffet-sideboard-wooden-storage-cabinet-w-wine-rack-glass-holder%3FconfigurationId%3D5f6063d4878b937db618d7b6,,1006,age group,adult,1,1,mpn,HW64028,1,0,,,,,,,,,,,,,,,,,,,1,1,7.7789E+15,0,https://opensky-assets.oss-us-east-1.aliyuncs.com/images/2020/10/12/21/5f84feb13b92f40e630c061e.jpeg,0,,df,1,1,brand,Costway,1,1,Direct URL,https://www.dotandbo.com/costway/product/costway-mid-century-buffet-sideboard-wooden-storage-cabinet-w-wine-rack-glass-holder?configurationId=5f6063d4878b937db618d7b6,1,0,gtin,6.59245E+11,1,0,condition,new,1,1,last updated,6/14/2022 15:10,1,0,id,5f6063d4878b937db618d7b6,1,0,tags,costway,1,0,gender,unisex,1,1,merchant,Dot &amp; Bo,1,1,Network,Commission Junction,0,1,size,one size,1,1,,,,,,,
37236,external,1.02E+16,White Buffet Cabinet BTMWAY Mid-century Sideboard Cabinet with Glass Door Modern Server Table Storage Cabinet for Kitchen Farmhouse Cupboard Console Table White A6435,'-1,0,visible,,Is that a chic kitchen buffet? Or is it a stylish entryway credenza? No matter how you want to use your new BTMWAY glass sideboard it's sure to be a hit! BTMWAY kitchen storage cabinet is designed in a minimalist style which looks elegant and can fit in any decoration. This storage cabinet is constructed of selected MDF board and features a 2-tier shelf and transparent doors for versatile storage. Our kitchen storage cabinet will be a practical and worthwhile addition to your kitchen dining room or even living room and entryway as a buffet server. FEATURE: Multifunctional storage cabinet with broad tabletop and large storage compartments organized and neat home can easily come true. As a combination of elegance and functionality the unit is compatible with various decoration styles. Perfect for kitchen dining room living room bathroom bedroom hallways etc. The framed glass cabinet doors prevent your items from getting dusty. The kitchen storage cabinet is made using wood with a smooth finish along with metal knob handles to make sure it can stand up to daily use. This storage cabinet can be used as a buffet storage cabinet and TV console etc. WHY CHOOSE BTMWAY BUFFET CABINET? FARMHOUSE CHIC -- This modern farmhouse-inspired buffet server makes a distinct statement in any setting. Unique antique ring handle design makes the cabinet more charmy. This sideboard buffet in simplistic design will fit with any decor of your space which makes the storage also a decoration. Multi-function Kitchen Buffet -- BTMWAY storage cabinet has a simplistic design that can match any home décor for any different scene. It is ideal for kitchen use but can also be used in pantries closets garages or in the bathroom for additional storage space. Framed Glass Doors -- Framed glass doors bring elegance and romance to your kitchen design allowing you to display decorative dishware or cherished keepsakes and keep out the dust. Crafted with high-quality MDF board this kitchen cabinet is sturdy for long-lasting use and it's well-made with classy detailing. The surface of the buffet sideboard cabinet has been painted which is more scratch-resistant smoother and feels better. Wide Application -- Classic and simple look blends well in a variety of stylish home setups. It can be used as a buffet storage cabinet and TV console. All-match design indoor furniture fits dining room kitchen living room or other spaces needing a bit more storage Easy to Assemble and Clean -- The kitchen cabinet is very easy to assemble and includes all installation hardware. You can also stack two sideboards to provide extra storage space for the kitchen. In addition the smooth wooden surface is easy to clean with a damp cloth. SPECIFICATION: Color: White Material: MDF Overall Dimensions: (31.75 x 15.74 x 32.3) / (80.65 x 40 x 82)cm (L x W x H) Bearing capacity : 121lb /55kg Weight: 39.24 lb /17.8kg PACKAGE INCLUDE: 1 x Sideboard 1 x Accessories 1 x Manual NOTED: Plz allow 0~1 cm errors because of the manual measurement. Plz allow there is chromatic aberration due to the different resolutions of the devices.,,,taxable,,1,,,0,0,,,,,1,,154.99,309.98,Uncategorized,,,,,,,,,,https://goto.walmart.com/c/3133599/1285215/9383?prodsku=705410114&u=https%3A%2F%2Fwww.walmart.com%2Fip%2FWhite-Buffet-Cabinet-BTMWAY-Mid-century-Sideboard-Cabinet-Glass-Door-Modern-Server-Table-Storage-Kitchen-Farmhouse-Cupboard-Console-Table-White-A6435%2F705410114&intsrc=CATF_9747,,844,Direct URL,https://www.walmart.com/ip/White-Buffet-Cabinet-BTMWAY-Mid-century-Sideboard-Cabinet-Glass-Door-Modern-Server-Table-Storage-Kitchen-Farmhouse-Cupboard-Console-Table-White-A6435/705410114,1,0,brand,BTMWAY,1,1,,,,,,,,,,,,,,,,,,,1,1,1.02E+16,0,https://i5.walmartimages.com/asr/5517d57f-6cf9-4d72-aa06-c7e69b7f995b.898b1c102fc764c791ec2fd4794d5355.jpeg?odnHeight=450&amp;odnWidth=450&amp;odnBg=ffffff,50,,df,1,1,last updated,6/16/2022 3:46,1,0,merchant,Walmart - do it yourself,1,1,Network,Impact US,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37237,external,1.02E+16,Brock 48 Wide Acacia Wood Sideboard Storage Features: Wine Bottle Storage; Open Storage; Wine Glass Storage; Cabinets Included; Sliding Doors; Soft Close Doors Finished Back: Yes,'-1,0,visible,,AT A GLANCE 1. Finished Back 2. Partial Assembly Required 3. Soft Close Doors 4. Premium Material: Solid Wood 5. Storage Features: Wine Bottle Storage; Open Storage; Wine Glass Storage; Cabinets Included; Sliding Doors; Soft Close Doors Whether you're stashing table linens or using it as an impromptu console table for car keys this sideboard is sure to bring some subtle sophistication to your space. Perched atop four slightly splayed legs for a mid-century modern touch this piece is crafted from acacia wood in a light oak finish that blends easily with your color scheme. Plus an 18-bottle wine rack and two sliding doors ensure you never lack storage space. OVERALL DIMENSION 1. Overall: 26 H x 48 W x 14 D PRODUCT DETAILS 1. Main Material: Solid Wood 2. Countertop Material: Solid Wood 3. Adult Assembly Required: Yes WEIGHTS &amp; DIMENSIONS 1. Overall: 26 H x 48 W x 14 D 2. Cabinet Interior: 14 H x 13 W x 16 D 3. Overall Product Weight: 55.12 lb. 4. Weight Capacity: 50 lb. FEATURES 1. Color: Light Oak 2. Main Material: Solid Wood 3. Finished Back: Yes 4. Drawers Included: No 5. Cabinets Included: Yes 6. Number of Doors: 2 7. Soft Close or Self Close Doors: Yes 8. Sliding Doors: Yes 9. Shelves Included: No 10. Cable Management: No 11. Wine Rack: Yes 12. Wine Rack Bottle Capacity: 18 13. Stemware Rack: Yes 14. Tipover Restraint Device Included: No 15. Supplier Intended and Approved Use: Residential Use 16. Product Care: Wipe with a clean damp cloth and mild soap 17. Countertop Material: Solid Wood 18. Wood Species: Acacia 19. Country of Origin: Viet Nam ASSEMBLY 1. Level of Assembly: Partial Assembly 2. Adult Assembly Required: Yes 3. Suggested Number of People: 2 4. Avoid Power Tools: Yes WARRANTY 1. Commercial Warranty: No 2. Product Warranty: Yes 3. Warranty Length: 90 Days 4. Full or Limited Warranty: Limited You may also like following products 1. Pittenger Dogs and Cats 3 Panel Room Divider Location: Indoor Use Only Features: Double Sided Print 2. Versa Platform Bed Box Spring Not Required Footboard Included 3. Overcash Rocking Chair Overall: 32.87 H x 37.4 W x 27.17 D Weight Capacity: 265 lb. 4. Ocean 3 Panel Room Divider Overall: 70.88 H x 48 W x 1 D Hanging Rod Included: No 5. Daviston Rocking Chair Recommended Age Group: Adult Color: Walnut,,,taxable,,1,,,0,0,,,,,1,,798.65,1380.28,Uncategorized,,,,,,,,,,https://goto.walmart.com/c/3133599/1285386/9383?prodsku=515880095&u=https%3A%2F%2Fwww.walmart.com%2Fip%2FBrock-48-Wide-Acacia-Wood-Sideboard-Storage-Features-Wine-Bottle-Storage-Open-Glass-Cabinets-Included-Sliding-Doors-Soft-Close-Doors-Finished-Back-Ye%2F515880095&intsrc=CATF_9767,,162,Direct URL,https://www.walmart.com/ip/Brock-48-Wide-Acacia-Wood-Sideboard-Storage-Features-Wine-Bottle-Storage-Open-Glass-Cabinets-Included-Sliding-Doors-Soft-Close-Doors-Finished-Back-Ye/515880095,1,0,brand,Milanhome,1,1,,,,,,,,,,,,,,,,,,,1,1,1.02E+16,0,https://i5.walmartimages.com/asr/125f4b5b-61b8-448e-ad26-959d5a7dcb23.973c0a9a3bb09d7f9a87b869ac2f897e.jpeg?odnHeight=450&amp;odnWidth=450&amp;odnBg=ffffff,42,,df,1,1,last updated,6/15/2022 11:24,1,0,merchant,Walmart - furniture,1,1,Network,Impact US,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37238,external,1.03E+16,Modern Curved Edge Fluted Glass Door Sideboard in Solid Black,1,0,visible,,"Walker Edison - Buffet Tables &amp; Sideboards - BU58FRAN2DSB - Initiate an artsy scene reminiscent of another era in your own space with this modern fluted glass door sideboard. While black metal accents set a contemporary tone, the curved ends and fluted glass doors lend a vintage vibe that emulates a sense of old Hollywood glamour. House your favorite dinnerware or collected art finds on two adjustable shelves behind the mirage of closed storage provided by the semitransparent tempered safety glass doors. Four fixed side shelves and cord management ports allow you to effortlessly transform the console from an entertaining essential to movie marathon must-have. Embrace this piece and all its curves in your living room, dining room, or entryway to invite an air of elevated living.Features : Color: Solid Black; Curved ends lend a unique, contemporary aesthetic; Fluted tempered safety glass doors on adjustable, soft-close metal hinges; 2 adjustable shelves and 4 fixed shelves offer customizable storage; Made with warp-resistant MDF and long-wearing laminate; Cord management ports keep cables tidy; The perfect accent for your mid-century or contemporary home. Specifications : Cabinet Dimensions : 31""""H x 58""""L x 15.5""""W.",,,taxable,,1,,,0,0,,,,,1,,,375.99,Uncategorized,,,https://letscrowdshop.com/wp-content/uploads/2022/06/Modern-Curved-Edge-Fluted-Glass-Door-Sideboard-in-Solid-Black-1.jpg,,,,,,,https://www.pntrac.com/t/1-9766-253094-9766?url=http%3A%2F%2Fwww.homesquare.com%2Fmodern-curved-edge-fluted-glass-door-sideboard-in-solid-black-bu58fran2dsb.htm%3Fsrc%3Dpepperjam%26srcid%3D28143797,,466,mpn,BU58FRAN2DSB,1,0,brand,Walker Edison,1,1,,,,,,,,,,,,,,,,,,classic-editor,1,1,1.03E+16,0,http://media.cymaxstores.com/Images/170/2437327-M.jpg,0,,df,1,1,Direct URL,http://www.homesquare.com/modern-curved-edge-fluted-glass-door-sideboard-in-solid-black-bu58fran2dsb.htm?src=pepperjam&srcid=28143797,1,0,color,black,1,1,sku,2437327,1,0,condition,new,1,1,last updated,6/15/2022 5:14,1,0,upc,8.40E+11,1,0,material,glass,1,1,merchant,Homesquare,1,1,Network,Pepperjam US,0,1,,,,,,,,,,,,,,,
37239,external,1.03224E+16,Contemporary Two-Tone Glass Shelf Sideboard in Slate Gray,1,0,visible,,"Walker Edison - Buffet Tables &amp; Sideboards - BU52AST2DSG - Invite a contemporary twist to Mid-century modernism into your personal space with this attractive sideboard. Set atop sleek, adjustable metal legs, its minimalistic profile will streamline the aesthetic of any alcove into a mod motif, ready to display your favorite décor as works of art. Two drawers and an adjustable wood shelf behind a soft close door lend ample closed storage for linens or media components. Tempered safety glass shelves offer visual intrigue as well as a spot for books or sculptural pieces. With a two-tone design and long-lasting MDF wood build, this buffet is a blend of contemporary contrast and timeless tradition that will never go out of style.Features : Color: Slate Gray; Stunning slate grey finish; 2 adjustable shelves made with tempered safety glass; 1 adjustable warp-resistant MDF wood shelf; 2 drawers on telescoping metal glides; Made with warp-resistant MDF, durable laminate, and powder-coated metal; Use as a media console, credenza, or buffet. Specifications : Shelf Dimensions : 30""""H x 52""""L x 15.75""""W.",,,taxable,,1,,,0,0,,,,,1,,,304.99,Uncategorized,,,https://letscrowdshop.com/wp-content/uploads/2022/06/Contemporary-Two-Tone-Glass-Shelf-Sideboard-in-Slate-Gray-1.jpg,,,,,,,https://www.pjtra.com/t/1-9766-253094-9766?url=http%3A%2F%2Fwww.homesquare.com%2Fcontemporary-two-tone-glass-shelf-sideboard-in-slate-gray-bu52ast2dsg.htm%3Fsrc%3Dpepperjam%26srcid%3D28134771,,1005,mpn,BU52AST2DSG,1,0,brand,Walker Edison,1,1,,,,,,,,,,,,,,,,,,,1,1,1.03224E+16,0,http://media.cymaxstores.com/Images/170/2437378-M.jpg,0,,df,1,1,Direct URL,http://www.homesquare.com/contemporary-two-tone-glass-shelf-sideboard-in-slate-gray-bu52ast2dsg.htm?src=pepperjam&srcid=28134771,1,0,color,gray,1,1,sku,2437378,1,0,condition,new,1,1,last updated,6/15/2022 5:14,1,0,upc,8.40146E+11,1,0,material,glass,1,1,merchant,Homesquare,1,1,Network,Pepperjam US,0,1,,,,,,,,,,,,,,,
37240,external,1.03224E+16,Modern Curved Edge Fluted Glass Door Sideboard in Dark Walnut,1,0,visible,,"Walker Edison - Buffet Tables &amp; Sideboards - BU58FRAN2DDW - Initiate an artsy scene reminiscent of another era in your own space with this modern fluted glass door sideboard. While black metal accents set a contemporary tone, the curved ends and fluted glass doors lend a vintage vibe that emulates a sense of old Hollywood glamour. House your favorite dinnerware or collected art finds on two adjustable shelves behind the mirage of closed storage provided by the semitransparent tempered safety glass doors. Four fixed side shelves and cord management ports allow you to effortlessly transform the console from an entertaining essential to movie marathon must-have. Embrace this piece and all its curves in your living room, dining room, or entryway to invite an air of elevated living.Features : Color: Dark Walnut; Curved ends lend a unique, contemporary aesthetic; Fluted tempered safety glass doors on adjustable, soft-close metal hinges; 2 adjustable shelves and 4 fixed shelves offer customizable storage; Made with warp-resistant MDF and long-wearing laminate; Cord management ports keep cables tidy; The perfect accent for your mid-century or contemporary home. Specifications : Cabinet Dimensions : 31""""H x 58""""L x 15.5""""W.",,,taxable,,1,,,0,0,,,,,1,,,374.99,Uncategorized,,,https://letscrowdshop.com/wp-content/uploads/2022/06/Modern-Curved-Edge-Fluted-Glass-Door-Sideboard-in-Dark-Walnut-1.jpg,,,,,,,https://www.gopjn.com/t/1-9766-253094-9766?url=http%3A%2F%2Fwww.homesquare.com%2Fmodern-curved-edge-fluted-glass-door-sideboard-in-dark-walnut-bu58fran2ddw.htm%3Fsrc%3Dpepperjam%26srcid%3D28143839,,1098,mpn,BU58FRAN2DDW,1,0,brand,Walker Edison,1,1,,,,,,,,,,,,,,,,,,,1,1,1.03224E+16,0,http://media.cymaxstores.com/Images/170/2437488-M.jpg,0,,df,1,1,Direct URL,http://www.homesquare.com/modern-curved-edge-fluted-glass-door-sideboard-in-dark-walnut-bu58fran2ddw.htm?src=pepperjam&srcid=28143839,1,0,color,Walnut,1,1,sku,2437488,1,0,condition,new,1,1,last updated,6/15/2022 5:14,1,0,upc,8.40146E+11,1,0,material,glass,1,1,merchant,Homesquare,1,1,Network,Pepperjam US,0,1,,,,,,,,,,,,,,,
37439,external,9.998E+14,Vintage Wooden Bead Chandelier,1,0,visible,,"There is a layer of lime on the surface of the pearl, which can be painted at high temperature to prevent the wood pearl from burning. all the wiring of the lamp is done internally, all you need to do is to assemble the lamp and then complete the hard wiring.",,,taxable,,1,,,0,0,,,,,1,,,289.99,Uncategorized,,,https://letscrowdshop.com/wp-content/uploads/2022/06/Vintage-Wooden-Bead-Chandelier.jpg,,,,,,,https://www.dpbolvw.net/click-5916889-13730087?url=https%3A%2F%2Fwww.wayfair.com%2FDakota-Fields--Vintage-Wooden-Bead-Chandelier-X118436594-L6085-K%7EW007325483.html,,1138,mpn,B4264C1DAAF44470929CD1324580F6F7,1,0,age group,adult,1,1,,,,,,,,,,,,,,,,,,,1,1,9.998E+14,1,https://secure.img1-fg.wfcdn.com/im/91601086/resize-h400-w400%5Ecompr-r85/1745/174509687/.jpg,0,,df,1,1,brand,Dakota Fields,1,1,Direct URL,https://www.wayfair.com/Dakota-Fields--Vintage-Wooden-Bead-Chandelier-X118436594-L6085-K~W007325483.html,1,0,color,white,1,1,gtin,1.9658E+11,1,0,condition,new,1,1,last updated,6/20/2022 4:09,1,0,id,W007325483,1,0,gender,unisex,1,1,material,metal,1,1,merchant,Wayfair,1,1,Network,Commission Junction,0,1,,,,,,,
37441,external,9.998E+14,"8-light Metal Retro Chandelier Double-layer Bohemian-style Wooden Bead Pendant Lighting With Hanging Chain, Bulbs Not Included",1,0,visible,,"8-Light Metal Retro Chandelier Double-Layer Bohemian-Style Wooden Bead Pendant Lighting with Hanging Chain, Bulbs Not Included",,,taxable,,1,,,0,0,,,,,1,,,459.99,Home &amp; Garden > Lighting > Lighting Fixtures > Chandeliers,,,https://letscrowdshop.com/wp-content/uploads/2022/06/8-light-Metal-Retro-Chandelier-Double-layer-Bohemian-style-Wooden-Bead-Pendant-Lighting-With-Hanging-Chain-Bulbs-Not-Included.jpg,,,,,,,https://www.anrdoezrs.net/click-5916889-13730087?url=https%3A%2F%2Fwww.wayfair.com%2FDakota-Fields--8light-Metal-Retro-Chandelier-Doublelayer-Bohemianstyle-Wooden-Bead-Pendant-Lighting-With-Hanging-Chain-Bulbs-Not-Included-X110136759-L6085-K%7EW009025648.html,,948,mpn,AE90C239B4CF4F95B7DAD2A2B02F388A,1,0,age group,adult,1,1,,,,,,,,,,,,,,,,,,,1,1,9.998E+14,1,https://secure.img1-fg.wfcdn.com/im/54913010/resize-h400-w400%5Ecompr-r85/2052/205294582/.jpg,0,36197,df,1,1,brand,Dakota Fields,1,1,Direct URL,https://www.wayfair.com/Dakota-Fields--8light-Metal-Retro-Chandelier-Doublelayer-Bohemianstyle-Wooden-Bead-Pendant-Lighting-With-Hanging-Chain-Bulbs-Not-Included-X110136759-L6085-K~W009025648.html,1,0,gtin,1.96937E+11,1,0,condition,new,1,1,last updated,7/18/2022 4:59,1,0,id,W009025648,1,0,gender,unisex,1,1,merchant,Wayfair,1,1,Network,Commission Junction,0,1,,,,,,,,,,,,,,,
